District,Year,Offence Group,Total Number of Offences
Armadale District,16,Assault Police Officer,61.0
Armadale District,16,Attempted / Conspiracy to Murder,0.0
Armadale District,16,Breach of Family Violence Restraint Order,999.0
Armadale District,16,Breach of Police Order,192.0
Armadale District,16,Breach of Violence Restraint Order,165.0
Armadale District,16,Burglary (Dwelling),2788.0
Armadale District,16,Burglary (Non-Dwelling),844.0
Armadale District,16,Cause Bushfire,10.0
Armadale District,16,Cause Damage by Fire,86.0
Armadale District,16,Common Assault (Family),1715.0
Armadale District,16,Common Assault (Non-Family),725.0
Armadale District,16,Criminal Damage,780.0
Armadale District,16,Cultivate or Manufacture Drugs,69.0
Armadale District,16,Damage,2393.0
Armadale District,16,Deprivation of Liberty,31.0
Armadale District,16,Driving Causing Death,3.0
Armadale District,16,Drug Dealing,271.0
Armadale District,16,Drug Possession,1633.0
Armadale District,16,Forgery,26.0
Armadale District,16,Fraud (Credit Card),0.0
Armadale District,16,Fraud (Not Elsewhere Classified),1344.0
Armadale District,16,Graffiti,212.0
Armadale District,16,Kidnapping / Child Stealing,3.0
Armadale District,16,Manslaughter,0.0
Armadale District,16,Murder,2.0
Armadale District,16,Non-Assaultive Sexual Offences,111.0
Armadale District,16,Other Drug Offences,11.0
Armadale District,16,Other Fire Related Offences,4.0
Armadale District,16,Possess Stolen Property,366.0
Armadale District,16,Possess Weapon to Cause Fear (Family),86.0
Armadale District,16,Possess Weapon to Cause Fear (Non-Family),195.0
Armadale District,16,Possession of Drug Paraphernalia,1090.0
Armadale District,16,Receiving Stolen Property,53.0
Armadale District,16,Regulated Weapons Offences,635.0
Armadale District,16,Robbery (Business),24.0
Armadale District,16,Robbery (Non-Business),137.0
Armadale District,16,Serious Assault (Family),277.0
Armadale District,16,Serious Assault (Non-Family),386.0
Armadale District,16,Sexual Assault,354.0
Armadale District,16,Stealing (Not Elsewhere Classified),8026.0
Armadale District,16,Stealing From Dwelling,0.0
Armadale District,16,Stealing From Motor Vehicle (Contents or Parts),0.0
Armadale District,16,Stealing From Other Premises or Place,0.0
Armadale District,16,Stealing From Retail Premises (Shoplift),0.0
Armadale District,16,Stealing as a Servant,11.0
Armadale District,16,Stealing of Motor Vehicle,813.0
Armadale District,16,Threatening Behaviour (Family),239.0
Armadale District,16,Threatening Behaviour (Non-Family),164.0
Cannington District,16,Assault Police Officer,62.0
Cannington District,16,Attempted / Conspiracy to Murder,0.0
Cannington District,16,Breach of Family Violence Restraint Order,399.0
Cannington District,16,Breach of Police Order,197.0
Cannington District,16,Breach of Violence Restraint Order,101.0
Cannington District,16,Burglary (Dwelling),3591.0
Cannington District,16,Burglary (Non-Dwelling),829.0
Cannington District,16,Cause Bushfire,0.0
Cannington District,16,Cause Damage by Fire,62.0
Cannington District,16,Common Assault (Family),1216.0
Cannington District,16,Common Assault (Non-Family),691.0
Cannington District,16,Criminal Damage,642.0
Cannington District,16,Cultivate or Manufacture Drugs,45.0
Cannington District,16,Damage,2725.0
Cannington District,16,Deprivation of Liberty,20.0
Cannington District,16,Driving Causing Death,1.0
Cannington District,16,Drug Dealing,225.0
Cannington District,16,Drug Possession,1467.0
Cannington District,16,Forgery,26.0
Cannington District,16,Fraud (Credit Card),0.0
Cannington District,16,Fraud (Not Elsewhere Classified),1951.0
Cannington District,16,Graffiti,123.0
Cannington District,16,Kidnapping / Child Stealing,3.0
Cannington District,16,Manslaughter,2.0
Cannington District,16,Murder,1.0
Cannington District,16,Non-Assaultive Sexual Offences,90.0
Cannington District,16,Other Drug Offences,13.0
Cannington District,16,Other Fire Related Offences,0.0
Cannington District,16,Possess Stolen Property,596.0
Cannington District,16,Possess Weapon to Cause Fear (Family),68.0
Cannington District,16,Possess Weapon to Cause Fear (Non-Family),241.0
Cannington District,16,Possession of Drug Paraphernalia,886.0
Cannington District,16,Receiving Stolen Property,73.0
Cannington District,16,Regulated Weapons Offences,347.0
Cannington District,16,Robbery (Business),21.0
Cannington District,16,Robbery (Non-Business),160.0
Cannington District,16,Serious Assault (Family),248.0
Cannington District,16,Serious Assault (Non-Family),304.0
Cannington District,16,Sexual Assault,276.0
Cannington District,16,Stealing (Not Elsewhere Classified),11145.0
Cannington District,16,Stealing From Dwelling,0.0
Cannington District,16,Stealing From Motor Vehicle (Contents or Parts),0.0
Cannington District,16,Stealing From Other Premises or Place,0.0
Cannington District,16,Stealing From Retail Premises (Shoplift),0.0
Cannington District,16,Stealing as a Servant,20.0
Cannington District,16,Stealing of Motor Vehicle,1124.0
Cannington District,16,Threatening Behaviour (Family),179.0
Cannington District,16,Threatening Behaviour (Non-Family),174.0
Fremantle District,16,Assault Police Officer,62.0
Fremantle District,16,Attempted / Conspiracy to Murder,4.0
Fremantle District,16,Breach of Family Violence Restraint Order,412.0
Fremantle District,16,Breach of Police Order,101.0
Fremantle District,16,Breach of Violence Restraint Order,83.0
Fremantle District,16,Burglary (Dwelling),2759.0
Fremantle District,16,Burglary (Non-Dwelling),1033.0
Fremantle District,16,Cause Bushfire,1.0
Fremantle District,16,Cause Damage by Fire,71.0
Fremantle District,16,Common Assault (Family),1066.0
Fremantle District,16,Common Assault (Non-Family),583.0
Fremantle District,16,Criminal Damage,590.0
Fremantle District,16,Cultivate or Manufacture Drugs,40.0
Fremantle District,16,Damage,2483.0
Fremantle District,16,Deprivation of Liberty,20.0
Fremantle District,16,Driving Causing Death,0.0
Fremantle District,16,Drug Dealing,215.0
Fremantle District,16,Drug Possession,1433.0
Fremantle District,16,Forgery,17.0
Fremantle District,16,Fraud (Credit Card),0.0
Fremantle District,16,Fraud (Not Elsewhere Classified),1887.0
Fremantle District,16,Graffiti,109.0
Fremantle District,16,Kidnapping / Child Stealing,1.0
Fremantle District,16,Manslaughter,1.0
Fremantle District,16,Murder,4.0
Fremantle District,16,Non-Assaultive Sexual Offences,110.0
Fremantle District,16,Other Drug Offences,22.0
Fremantle District,16,Other Fire Related Offences,2.0
Fremantle District,16,Possess Stolen Property,379.0
Fremantle District,16,Possess Weapon to Cause Fear (Family),47.0
Fremantle District,16,Possess Weapon to Cause Fear (Non-Family),135.0
Fremantle District,16,Possession of Drug Paraphernalia,1011.0
Fremantle District,16,Receiving Stolen Property,67.0
Fremantle District,16,Regulated Weapons Offences,406.0
Fremantle District,16,Robbery (Business),20.0
Fremantle District,16,Robbery (Non-Business),118.0
Fremantle District,16,Serious Assault (Family),207.0
Fremantle District,16,Serious Assault (Non-Family),283.0
Fremantle District,16,Sexual Assault,237.0
Fremantle District,16,Stealing (Not Elsewhere Classified),10556.0
Fremantle District,16,Stealing From Dwelling,0.0
Fremantle District,16,Stealing From Motor Vehicle (Contents or Parts),0.0
Fremantle District,16,Stealing From Other Premises or Place,0.0
Fremantle District,16,Stealing From Retail Premises (Shoplift),0.0
Fremantle District,16,Stealing as a Servant,23.0
Fremantle District,16,Stealing of Motor Vehicle,733.0
Fremantle District,16,Threatening Behaviour (Family),166.0
Fremantle District,16,Threatening Behaviour (Non-Family),162.0
Goldfields-Esperance District,16,Assault Police Officer,111.0
Goldfields-Esperance District,16,Attempted / Conspiracy to Murder,0.0
Goldfields-Esperance District,16,Breach of Family Violence Restraint Order,183.0
Goldfields-Esperance District,16,Breach of Police Order,193.0
Goldfields-Esperance District,16,Breach of Violence Restraint Order,37.0
Goldfields-Esperance District,16,Burglary (Dwelling),900.0
Goldfields-Esperance District,16,Burglary (Non-Dwelling),391.0
Goldfields-Esperance District,16,Cause Bushfire,2.0
Goldfields-Esperance District,16,Cause Damage by Fire,30.0
Goldfields-Esperance District,16,Common Assault (Family),607.0
Goldfields-Esperance District,16,Common Assault (Non-Family),263.0
Goldfields-Esperance District,16,Criminal Damage,566.0
Goldfields-Esperance District,16,Cultivate or Manufacture Drugs,43.0
Goldfields-Esperance District,16,Damage,1311.0
Goldfields-Esperance District,16,Deprivation of Liberty,7.0
Goldfields-Esperance District,16,Driving Causing Death,2.0
Goldfields-Esperance District,16,Drug Dealing,84.0
Goldfields-Esperance District,16,Drug Possession,609.0
Goldfields-Esperance District,16,Forgery,15.0
Goldfields-Esperance District,16,Fraud (Credit Card),0.0
Goldfields-Esperance District,16,Fraud (Not Elsewhere Classified),537.0
Goldfields-Esperance District,16,Graffiti,54.0
Goldfields-Esperance District,16,Kidnapping / Child Stealing,1.0
Goldfields-Esperance District,16,Manslaughter,1.0
Goldfields-Esperance District,16,Murder,3.0
Goldfields-Esperance District,16,Non-Assaultive Sexual Offences,7.0
Goldfields-Esperance District,16,Other Drug Offences,6.0
Goldfields-Esperance District,16,Other Fire Related Offences,2.0
Goldfields-Esperance District,16,Possess Stolen Property,106.0
Goldfields-Esperance District,16,Possess Weapon to Cause Fear (Family),29.0
Goldfields-Esperance District,16,Possess Weapon to Cause Fear (Non-Family),88.0
Goldfields-Esperance District,16,Possession of Drug Paraphernalia,498.0
Goldfields-Esperance District,16,Receiving Stolen Property,29.0
Goldfields-Esperance District,16,Regulated Weapons Offences,165.0
Goldfields-Esperance District,16,Robbery (Business),2.0
Goldfields-Esperance District,16,Robbery (Non-Business),24.0
Goldfields-Esperance District,16,Serious Assault (Family),252.0
Goldfields-Esperance District,16,Serious Assault (Non-Family),197.0
Goldfields-Esperance District,16,Sexual Assault,110.0
Goldfields-Esperance District,16,Stealing (Not Elsewhere Classified),1875.0
Goldfields-Esperance District,16,Stealing From Dwelling,0.0
Goldfields-Esperance District,16,Stealing From Motor Vehicle (Contents or Parts),0.0
Goldfields-Esperance District,16,Stealing From Other Premises or Place,0.0
Goldfields-Esperance District,16,Stealing From Retail Premises (Shoplift),0.0
Goldfields-Esperance District,16,Stealing as a Servant,12.0
Goldfields-Esperance District,16,Stealing of Motor Vehicle,262.0
Goldfields-Esperance District,16,Threatening Behaviour (Family),41.0
Goldfields-Esperance District,16,Threatening Behaviour (Non-Family),41.0
Great Southern District,16,Assault Police Officer,25.0
Great Southern District,16,Attempted / Conspiracy to Murder,0.0
Great Southern District,16,Breach of Family Violence Restraint Order,179.0
Great Southern District,16,Breach of Police Order,146.0
Great Southern District,16,Breach of Violence Restraint Order,28.0
Great Southern District,16,Burglary (Dwelling),581.0
Great Southern District,16,Burglary (Non-Dwelling),346.0
Great Southern District,16,Cause Bushfire,14.0
Great Southern District,16,Cause Damage by Fire,30.0
Great Southern District,16,Common Assault (Family),555.0
Great Southern District,16,Common Assault (Non-Family),188.0
Great Southern District,16,Criminal Damage,155.0
Great Southern District,16,Cultivate or Manufacture Drugs,95.0
Great Southern District,16,Damage,898.0
Great Southern District,16,Deprivation of Liberty,7.0
Great Southern District,16,Driving Causing Death,1.0
Great Southern District,16,Drug Dealing,84.0
Great Southern District,16,Drug Possession,797.0
Great Southern District,16,Forgery,1.0
Great Southern District,16,Fraud (Credit Card),0.0
Great Southern District,16,Fraud (Not Elsewhere Classified),839.0
Great Southern District,16,Graffiti,43.0
Great Southern District,16,Kidnapping / Child Stealing,0.0
Great Southern District,16,Manslaughter,0.0
Great Southern District,16,Murder,0.0
Great Southern District,16,Non-Assaultive Sexual Offences,22.0
Great Southern District,16,Other Drug Offences,9.0
Great Southern District,16,Other Fire Related Offences,3.0
Great Southern District,16,Possess Stolen Property,96.0
Great Southern District,16,Possess Weapon to Cause Fear (Family),13.0
Great Southern District,16,Possess Weapon to Cause Fear (Non-Family),32.0
Great Southern District,16,Possession of Drug Paraphernalia,650.0
Great Southern District,16,Receiving Stolen Property,19.0
Great Southern District,16,Regulated Weapons Offences,181.0
Great Southern District,16,Robbery (Business),1.0
Great Southern District,16,Robbery (Non-Business),12.0
Great Southern District,16,Serious Assault (Family),97.0
Great Southern District,16,Serious Assault (Non-Family),99.0
Great Southern District,16,Sexual Assault,216.0
Great Southern District,16,Stealing (Not Elsewhere Classified),1714.0
Great Southern District,16,Stealing From Dwelling,0.0
Great Southern District,16,Stealing From Motor Vehicle (Contents or Parts),0.0
Great Southern District,16,Stealing From Other Premises or Place,0.0
Great Southern District,16,Stealing From Retail Premises (Shoplift),0.0
Great Southern District,16,Stealing as a Servant,15.0
Great Southern District,16,Stealing of Motor Vehicle,110.0
Great Southern District,16,Threatening Behaviour (Family),62.0
Great Southern District,16,Threatening Behaviour (Non-Family),36.0
Joondalup District,16,Assault Police Officer,60.0
Joondalup District,16,Attempted / Conspiracy to Murder,3.0
Joondalup District,16,Breach of Family Violence Restraint Order,1093.0
Joondalup District,16,Breach of Police Order,271.0
Joondalup District,16,Breach of Violence Restraint Order,122.0
Joondalup District,16,Burglary (Dwelling),2345.0
Joondalup District,16,Burglary (Non-Dwelling),790.0
Joondalup District,16,Cause Bushfire,8.0
Joondalup District,16,Cause Damage by Fire,80.0
Joondalup District,16,Common Assault (Family),1701.0
Joondalup District,16,Common Assault (Non-Family),507.0
Joondalup District,16,Criminal Damage,559.0
Joondalup District,16,Cultivate or Manufacture Drugs,81.0
Joondalup District,16,Damage,2217.0
Joondalup District,16,Deprivation of Liberty,32.0
Joondalup District,16,Driving Causing Death,2.0
Joondalup District,16,Drug Dealing,504.0
Joondalup District,16,Drug Possession,1989.0
Joondalup District,16,Forgery,8.0
Joondalup District,16,Fraud (Credit Card),0.0
Joondalup District,16,Fraud (Not Elsewhere Classified),1173.0
Joondalup District,16,Graffiti,211.0
Joondalup District,16,Kidnapping / Child Stealing,9.0
Joondalup District,16,Manslaughter,4.0
Joondalup District,16,Murder,8.0
Joondalup District,16,Non-Assaultive Sexual Offences,115.0
Joondalup District,16,Other Drug Offences,14.0
Joondalup District,16,Other Fire Related Offences,9.0
Joondalup District,16,Possess Stolen Property,617.0
Joondalup District,16,Possess Weapon to Cause Fear (Family),28.0
Joondalup District,16,Possess Weapon to Cause Fear (Non-Family),131.0
Joondalup District,16,Possession of Drug Paraphernalia,1546.0
Joondalup District,16,Receiving Stolen Property,50.0
Joondalup District,16,Regulated Weapons Offences,534.0
Joondalup District,16,Robbery (Business),25.0
Joondalup District,16,Robbery (Non-Business),125.0
Joondalup District,16,Serious Assault (Family),230.0
Joondalup District,16,Serious Assault (Non-Family),313.0
Joondalup District,16,Sexual Assault,395.0
Joondalup District,16,Stealing (Not Elsewhere Classified),8544.0
Joondalup District,16,Stealing From Dwelling,0.0
Joondalup District,16,Stealing From Motor Vehicle (Contents or Parts),0.0
Joondalup District,16,Stealing From Other Premises or Place,0.0
Joondalup District,16,Stealing From Retail Premises (Shoplift),0.0
Joondalup District,16,Stealing as a Servant,28.0
Joondalup District,16,Stealing of Motor Vehicle,843.0
Joondalup District,16,Threatening Behaviour (Family),236.0
Joondalup District,16,Threatening Behaviour (Non-Family),104.0
Kimberley District,16,Assault Police Officer,72.0
Kimberley District,16,Attempted / Conspiracy to Murder,3.0
Kimberley District,16,Breach of Family Violence Restraint Order,461.0
Kimberley District,16,Breach of Police Order,283.0
Kimberley District,16,Breach of Violence Restraint Order,55.0
Kimberley District,16,Burglary (Dwelling),764.0
Kimberley District,16,Burglary (Non-Dwelling),536.0
Kimberley District,16,Cause Bushfire,6.0
Kimberley District,16,Cause Damage by Fire,43.0
Kimberley District,16,Common Assault (Family),1637.0
Kimberley District,16,Common Assault (Non-Family),282.0
Kimberley District,16,Criminal Damage,266.0
Kimberley District,16,Cultivate or Manufacture Drugs,4.0
Kimberley District,16,Damage,1153.0
Kimberley District,16,Deprivation of Liberty,15.0
Kimberley District,16,Driving Causing Death,3.0
Kimberley District,16,Drug Dealing,159.0
Kimberley District,16,Drug Possession,608.0
Kimberley District,16,Forgery,1.0
Kimberley District,16,Fraud (Credit Card),0.0
Kimberley District,16,Fraud (Not Elsewhere Classified),409.0
Kimberley District,16,Graffiti,42.0
Kimberley District,16,Kidnapping / Child Stealing,1.0
Kimberley District,16,Manslaughter,0.0
Kimberley District,16,Murder,1.0
Kimberley District,16,Non-Assaultive Sexual Offences,20.0
Kimberley District,16,Other Drug Offences,57.0
Kimberley District,16,Other Fire Related Offences,1.0
Kimberley District,16,Possess Stolen Property,92.0
Kimberley District,16,Possess Weapon to Cause Fear (Family),93.0
Kimberley District,16,Possess Weapon to Cause Fear (Non-Family),134.0
Kimberley District,16,Possession of Drug Paraphernalia,411.0
Kimberley District,16,Receiving Stolen Property,34.0
Kimberley District,16,Regulated Weapons Offences,123.0
Kimberley District,16,Robbery (Business),2.0
Kimberley District,16,Robbery (Non-Business),29.0
Kimberley District,16,Serious Assault (Family),687.0
Kimberley District,16,Serious Assault (Non-Family),261.0
Kimberley District,16,Sexual Assault,180.0
Kimberley District,16,Stealing (Not Elsewhere Classified),1450.0
Kimberley District,16,Stealing From Dwelling,0.0
Kimberley District,16,Stealing From Motor Vehicle (Contents or Parts),0.0
Kimberley District,16,Stealing From Other Premises or Place,0.0
Kimberley District,16,Stealing From Retail Premises (Shoplift),0.0
Kimberley District,16,Stealing as a Servant,9.0
Kimberley District,16,Stealing of Motor Vehicle,425.0
Kimberley District,16,Threatening Behaviour (Family),194.0
Kimberley District,16,Threatening Behaviour (Non-Family),45.0
Mandurah District,16,Assault Police Officer,71.0
Mandurah District,16,Attempted / Conspiracy to Murder,3.0
Mandurah District,16,Breach of Family Violence Restraint Order,996.0
Mandurah District,16,Breach of Police Order,218.0
Mandurah District,16,Breach of Violence Restraint Order,151.0
Mandurah District,16,Burglary (Dwelling),3155.0
Mandurah District,16,Burglary (Non-Dwelling),880.0
Mandurah District,16,Cause Bushfire,18.0
Mandurah District,16,Cause Damage by Fire,99.0
Mandurah District,16,Common Assault (Family),2165.0
Mandurah District,16,Common Assault (Non-Family),743.0
Mandurah District,16,Criminal Damage,700.0
Mandurah District,16,Cultivate or Manufacture Drugs,95.0
Mandurah District,16,Damage,3030.0
Mandurah District,16,Deprivation of Liberty,27.0
Mandurah District,16,Driving Causing Death,3.0
Mandurah District,16,Drug Dealing,274.0
Mandurah District,16,Drug Possession,1518.0
Mandurah District,16,Forgery,21.0
Mandurah District,16,Fraud (Credit Card),0.0
Mandurah District,16,Fraud (Not Elsewhere Classified),1607.0
Mandurah District,16,Graffiti,240.0
Mandurah District,16,Kidnapping / Child Stealing,1.0
Mandurah District,16,Manslaughter,2.0
Mandurah District,16,Murder,3.0
Mandurah District,16,Non-Assaultive Sexual Offences,130.0
Mandurah District,16,Other Drug Offences,8.0
Mandurah District,16,Other Fire Related Offences,8.0
Mandurah District,16,Possess Stolen Property,326.0
Mandurah District,16,Possess Weapon to Cause Fear (Family),96.0
Mandurah District,16,Possess Weapon to Cause Fear (Non-Family),218.0
Mandurah District,16,Possession of Drug Paraphernalia,1061.0
Mandurah District,16,Receiving Stolen Property,50.0
Mandurah District,16,Regulated Weapons Offences,551.0
Mandurah District,16,Robbery (Business),35.0
Mandurah District,16,Robbery (Non-Business),155.0
Mandurah District,16,Serious Assault (Family),323.0
Mandurah District,16,Serious Assault (Non-Family),373.0
Mandurah District,16,Sexual Assault,502.0
Mandurah District,16,Stealing (Not Elsewhere Classified),9222.0
Mandurah District,16,Stealing From Dwelling,0.0
Mandurah District,16,Stealing From Motor Vehicle (Contents or Parts),0.0
Mandurah District,16,Stealing From Other Premises or Place,0.0
Mandurah District,16,Stealing From Retail Premises (Shoplift),0.0
Mandurah District,16,Stealing as a Servant,24.0
Mandurah District,16,Stealing of Motor Vehicle,1001.0
Mandurah District,16,Threatening Behaviour (Family),321.0
Mandurah District,16,Threatening Behaviour (Non-Family),190.0
Metropolitan Region,16,Assault Police Officer,612.0
Metropolitan Region,16,Attempted / Conspiracy to Murder,17.0
Metropolitan Region,16,Breach of Family Violence Restraint Order,5521.0
Metropolitan Region,16,Breach of Police Order,1558.0
Metropolitan Region,16,Breach of Violence Restraint Order,898.0
Metropolitan Region,16,Burglary (Dwelling),21583.0
Metropolitan Region,16,Burglary (Non-Dwelling),6601.0
Metropolitan Region,16,Cause Bushfire,68.0
Metropolitan Region,16,Cause Damage by Fire,625.0
Metropolitan Region,16,Common Assault (Family),11823.0
Metropolitan Region,16,Common Assault (Non-Family),5308.0
Metropolitan Region,16,Criminal Damage,4848.0
Metropolitan Region,16,Cultivate or Manufacture Drugs,479.0
Metropolitan Region,16,Damage,20002.0
Metropolitan Region,16,Deprivation of Liberty,213.0
Metropolitan Region,16,Driving Causing Death,12.0
Metropolitan Region,16,Drug Dealing,2457.0
Metropolitan Region,16,Drug Possession,13004.0
Metropolitan Region,16,Forgery,153.0
Metropolitan Region,16,Fraud (Credit Card),0.0
Metropolitan Region,16,Fraud (Not Elsewhere Classified),13370.0
Metropolitan Region,16,Graffiti,1506.0
Metropolitan Region,16,Kidnapping / Child Stealing,23.0
Metropolitan Region,16,Manslaughter,10.0
Metropolitan Region,16,Murder,29.0
Metropolitan Region,16,Non-Assaultive Sexual Offences,1068.0
Metropolitan Region,16,Other Drug Offences,99.0
Metropolitan Region,16,Other Fire Related Offences,30.0
Metropolitan Region,16,Possess Stolen Property,3755.0
Metropolitan Region,16,Possess Weapon to Cause Fear (Family),478.0
Metropolitan Region,16,Possess Weapon to Cause Fear (Non-Family),1462.0
Metropolitan Region,16,Possession of Drug Paraphernalia,8662.0
Metropolitan Region,16,Receiving Stolen Property,431.0
Metropolitan Region,16,Regulated Weapons Offences,3700.0
Metropolitan Region,16,Robbery (Business),181.0
Metropolitan Region,16,Robbery (Non-Business),1052.0
Metropolitan Region,16,Serious Assault (Family),1899.0
Metropolitan Region,16,Serious Assault (Non-Family),2812.0
Metropolitan Region,16,Sexual Assault,2989.0
Metropolitan Region,16,Stealing (Not Elsewhere Classified),73045.0
Metropolitan Region,16,Stealing From Dwelling,0.0
