District,Year,Offence Group,Total Number of Offences,Total Employed,Total Persons,Unemployed,Unemployment Rate (%)
Mirrabooka District,16,Possess Weapon to Cause Fear (Non-Family),147.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Possession of Drug Paraphernalia,1130.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Receiving Stolen Property,44.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Regulated Weapons Offences,412.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Robbery (Business),23.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Robbery (Non-Business),107.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Serious Assault (Family),240.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Serious Assault (Non-Family),244.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Sexual Assault,366.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing (Not Elsewhere Classified),9518.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing From Dwelling,0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing From Other Premises or Place,0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing From Retail Premises (Shoplift),0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing as a Servant,17.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing of Motor Vehicle,971.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Threatening Behaviour (Family),286.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Threatening Behaviour (Non-Family),162.0,438507.0,476035.0,37528.0,8.56
Perth District,16,Assault Police Officer,156.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Attempted / Conspiracy to Murder,1.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Breach of Family Violence Restraint Order,298.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Breach of Police Order,43.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Breach of Violence Restraint Order,94.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Burglary (Dwelling),1207.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Burglary (Non-Dwelling),773.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Cause Bushfire,0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Cause Damage by Fire,51.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Common Assault (Family),536.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Common Assault (Non-Family),798.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Criminal Damage,397.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Cultivate or Manufacture Drugs,23.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Damage,1787.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Deprivation of Liberty,16.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Driving Causing Death,1.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Drug Dealing,454.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Drug Possession,1750.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Forgery,18.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Fraud (Credit Card),0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Fraud (Not Elsewhere Classified),2139.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Graffiti,270.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Kidnapping / Child Stealing,2.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Manslaughter,0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Murder,2.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Non-Assaultive Sexual Offences,344.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Other Drug Offences,8.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Other Fire Related Offences,0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Possess Stolen Property,636.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Possess Weapon to Cause Fear (Family),6.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Possess Weapon to Cause Fear (Non-Family),215.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Possession of Drug Paraphernalia,906.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Receiving Stolen Property,39.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Regulated Weapons Offences,339.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Robbery (Business),18.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Robbery (Non-Business),143.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Serious Assault (Family),93.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Serious Assault (Non-Family),586.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Sexual Assault,433.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing (Not Elsewhere Classified),9025.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing From Dwelling,0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing From Other Premises or Place,0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing From Retail Premises (Shoplift),0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing as a Servant,24.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing of Motor Vehicle,489.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Threatening Behaviour (Family),50.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Threatening Behaviour (Non-Family),97.0,228282.0,244721.0,16439.0,7.2
Pilbara District,16,Assault Police Officer,56.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Attempted / Conspiracy to Murder,0.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Breach of Family Violence Restraint Order,371.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Breach of Police Order,154.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Breach of Violence Restraint Order,48.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Burglary (Dwelling),626.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Burglary (Non-Dwelling),258.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Cause Bushfire,14.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Cause Damage by Fire,44.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Common Assault (Family),836.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Common Assault (Non-Family),242.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Criminal Damage,350.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Cultivate or Manufacture Drugs,13.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Damage,1016.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Deprivation of Liberty,15.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Driving Causing Death,1.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Drug Dealing,58.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Drug Possession,458.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Forgery,9.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Fraud (Credit Card),0.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Fraud (Not Elsewhere Classified),367.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Graffiti,35.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Kidnapping / Child Stealing,1.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Manslaughter,3.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Murder,1.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Non-Assaultive Sexual Offences,340.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Other Drug Offences,9.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Other Fire Related Offences,0.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Possess Stolen Property,90.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Possess Weapon to Cause Fear (Family),34.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Possess Weapon to Cause Fear (Non-Family),61.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Possession of Drug Paraphernalia,311.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Receiving Stolen Property,21.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Regulated Weapons Offences,123.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Robbery (Business),1.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Robbery (Non-Business),18.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Serious Assault (Family),304.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Serious Assault (Non-Family),184.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Sexual Assault,184.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Stealing (Not Elsewhere Classified),1698.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Stealing From Dwelling,0.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Stealing From Other Premises or Place,0.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Stealing From Retail Premises (Shoplift),0.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Stealing as a Servant,18.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Stealing of Motor Vehicle,268.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Threatening Behaviour (Family),118.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Threatening Behaviour (Non-Family),38.0,119276.0,124766.0,5490.0,4.6
Regional WA Region,16,Assault Police Officer,375.0,,,,
Regional WA Region,16,Attempted / Conspiracy to Murder,5.0,,,,
Regional WA Region,16,Breach of Family Violence Restraint Order,2316.0,,,,
Regional WA Region,16,Breach of Police Order,1110.0,,,,
Regional WA Region,16,Breach of Violence Restraint Order,342.0,,,,
Regional WA Region,16,Burglary (Dwelling),5881.0,,,,
Regional WA Region,16,Burglary (Non-Dwelling),3186.0,,,,
Regional WA Region,16,Cause Bushfire,65.0,,,,
Regional WA Region,16,Cause Damage by Fire,240.0,,,,
Regional WA Region,16,Common Assault (Family),5614.0,,,,
Regional WA Region,16,Common Assault (Non-Family),1788.0,,,,
Regional WA Region,16,Criminal Damage,2301.0,,,,
Regional WA Region,16,Cultivate or Manufacture Drugs,410.0,,,,
Regional WA Region,16,Damage,8323.0,,,,
Regional WA Region,16,Deprivation of Liberty,59.0,,,,
Regional WA Region,16,Driving Causing Death,16.0,,,,
Regional WA Region,16,Drug Dealing,1049.0,,,,
Regional WA Region,16,Drug Possession,5439.0,,,,
Regional WA Region,16,Forgery,50.0,,,,
Regional WA Region,16,Fraud (Credit Card),0.0,,,,
Regional WA Region,16,Fraud (Not Elsewhere Classified),3860.0,,,,
Regional WA Region,16,Graffiti,363.0,,,,
Regional WA Region,16,Kidnapping / Child Stealing,3.0,,,,
Regional WA Region,16,Manslaughter,4.0,,,,
Regional WA Region,16,Murder,6.0,,,,
Regional WA Region,16,Non-Assaultive Sexual Offences,507.0,,,,
Regional WA Region,16,Other Drug Offences,110.0,,,,
Regional WA Region,16,Other Fire Related Offences,12.0,,,,
Regional WA Region,16,Possess Stolen Property,780.0,,,,
Regional WA Region,16,Possess Weapon to Cause Fear (Family),229.0,,,,
Regional WA Region,16,Possess Weapon to Cause Fear (Non-Family),527.0,,,,
Regional WA Region,16,Possession of Drug Paraphernalia,4223.0,,,,
Regional WA Region,16,Receiving Stolen Property,169.0,,,,
Regional WA Region,16,Regulated Weapons Offences,1322.0,,,,
Regional WA Region,16,Robbery (Business),19.0,,,,
Regional WA Region,16,Robbery (Non-Business),147.0,,,,
Regional WA Region,16,Serious Assault (Family),1762.0,,,,
Regional WA Region,16,Serious Assault (Non-Family),1152.0,,,,
Regional WA Region,16,Sexual Assault,1127.0,,,,
Regional WA Region,16,Stealing (Not Elsewhere Classified),15146.0,,,,
Regional WA Region,16,Stealing From Dwelling,0.0,,,,
Regional WA Region,16,Stealing From Motor Vehicle (Contents or Parts),0.0,,,,
Regional WA Region,16,Stealing From Other Premises or Place,0.0,,,,
Regional WA Region,16,Stealing From Retail Premises (Shoplift),0.0,,,,
Regional WA Region,16,Stealing as a Servant,95.0,,,,
Regional WA Region,16,Stealing of Motor Vehicle,1792.0,,,,
Regional WA Region,16,Threatening Behaviour (Family),652.0,,,,
Regional WA Region,16,Threatening Behaviour (Non-Family),326.0,,,,
South West District,16,Assault Police Officer,48.0,270572.0,291865.0,21293.0,7.87
South West District,16,Attempted / Conspiracy to Murder,0.0,270572.0,291865.0,21293.0,7.87
South West District,16,Breach of Family Violence Restraint Order,383.0,270572.0,291865.0,21293.0,7.87
South West District,16,Breach of Police Order,127.0,270572.0,291865.0,21293.0,7.87
South West District,16,Breach of Violence Restraint Order,63.0,270572.0,291865.0,21293.0,7.87
South West District,16,Burglary (Dwelling),1139.0,270572.0,291865.0,21293.0,7.87
South West District,16,Burglary (Non-Dwelling),821.0,270572.0,291865.0,21293.0,7.87
South West District,16,Cause Bushfire,21.0,270572.0,291865.0,21293.0,7.87
South West District,16,Cause Damage by Fire,42.0,270572.0,291865.0,21293.0,7.87
South West District,16,Common Assault (Family),880.0,270572.0,291865.0,21293.0,7.87
South West District,16,Common Assault (Non-Family),383.0,270572.0,291865.0,21293.0,7.87
South West District,16,Criminal Damage,343.0,270572.0,291865.0,21293.0,7.87
South West District,16,Cultivate or Manufacture Drugs,174.0,270572.0,291865.0,21293.0,7.87
South West District,16,Damage,1932.0,270572.0,291865.0,21293.0,7.87
South West District,16,Deprivation of Liberty,7.0,270572.0,291865.0,21293.0,7.87
South West District,16,Driving Causing Death,4.0,270572.0,291865.0,21293.0,7.87
South West District,16,Drug Dealing,449.0,270572.0,291865.0,21293.0,7.87
South West District,16,Drug Possession,1644.0,270572.0,291865.0,21293.0,7.87
South West District,16,Forgery,19.0,270572.0,291865.0,21293.0,7.87
South West District,16,Fraud (Credit Card),0.0,270572.0,291865.0,21293.0,7.87
South West District,16,Fraud (Not Elsewhere Classified),637.0,270572.0,291865.0,21293.0,7.87
South West District,16,Graffiti,91.0,270572.0,291865.0,21293.0,7.87
South West District,16,Kidnapping / Child Stealing,0.0,270572.0,291865.0,21293.0,7.87
South West District,16,Manslaughter,0.0,270572.0,291865.0,21293.0,7.87
South West District,16,Murder,1.0,270572.0,291865.0,21293.0,7.87
South West District,16,Non-Assaultive Sexual Offences,66.0,270572.0,291865.0,21293.0,7.87
South West District,16,Other Drug Offences,6.0,270572.0,291865.0,21293.0,7.87
South West District,16,Other Fire Related Offences,3.0,270572.0,291865.0,21293.0,7.87
South West District,16,Possess Stolen Property,247.0,270572.0,291865.0,21293.0,7.87
South West District,16,Possess Weapon to Cause Fear (Family),16.0,270572.0,291865.0,21293.0,7.87
South West District,16,Possess Weapon to Cause Fear (Non-Family),76.0,270572.0,291865.0,21293.0,7.87
South West District,16,Possession of Drug Paraphernalia,1228.0,270572.0,291865.0,21293.0,7.87
South West District,16,Receiving Stolen Property,24.0,270572.0,291865.0,21293.0,7.87
South West District,16,Regulated Weapons Offences,395.0,270572.0,291865.0,21293.0,7.87
South West District,16,Robbery (Business),5.0,270572.0,291865.0,21293.0,7.87
South West District,16,Robbery (Non-Business),23.0,270572.0,291865.0,21293.0,7.87
South West District,16,Serious Assault (Family),121.0,270572.0,291865.0,21293.0,7.87
South West District,16,Serious Assault (Non-Family),152.0,270572.0,291865.0,21293.0,7.87
South West District,16,Sexual Assault,226.0,270572.0,291865.0,21293.0,7.87
South West District,16,Stealing (Not Elsewhere Classified),4857.0,270572.0,291865.0,21293.0,7.87
South West District,16,Stealing From Dwelling,0.0,270572.0,291865.0,21293.0,7.87
South West District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,270572.0,291865.0,21293.0,7.87
South West District,16,Stealing From Other Premises or Place,0.0,270572.0,291865.0,21293.0,7.87
South West District,16,Stealing From Retail Premises (Shoplift),0.0,270572.0,291865.0,21293.0,7.87
South West District,16,Stealing as a Servant,28.0,270572.0,291865.0,21293.0,7.87
South West District,16,Stealing of Motor Vehicle,355.0,270572.0,291865.0,21293.0,7.87
South West District,16,Threatening Behaviour (Family),110.0,270572.0,291865.0,21293.0,7.87
South West District,16,Threatening Behaviour (Non-Family),69.0,270572.0,291865.0,21293.0,7.87
Western Australia,16,Assault Police Officer,987.0,,,,
Western Australia,16,Attempted / Conspiracy to Murder,22.0,,,,
Western Australia,16,Breach of Family Violence Restraint Order,7837.0,,,,
Western Australia,16,Breach of Police Order,2668.0,,,,
Western Australia,16,Breach of Violence Restraint Order,1240.0,,,,
Western Australia,16,Burglary (Dwelling),27464.0,,,,
Western Australia,16,Burglary (Non-Dwelling),9787.0,,,,
Western Australia,16,Cause Bushfire,133.0,,,,
Western Australia,16,Cause Damage by Fire,865.0,,,,
Western Australia,16,Common Assault (Family),17437.0,,,,
Western Australia,16,Common Assault (Non-Family),7096.0,,,,
Western Australia,16,Criminal Damage,7149.0,,,,
Western Australia,16,Cultivate or Manufacture Drugs,889.0,,,,
Western Australia,16,Damage,28326.0,,,,
Western Australia,16,Deprivation of Liberty,272.0,,,,
Western Australia,16,Driving Causing Death,28.0,,,,
Western Australia,16,Drug Dealing,3506.0,,,,
Western Australia,16,Drug Possession,18443.0,,,,
Western Australia,16,Forgery,203.0,,,,
Western Australia,16,Fraud (Credit Card),0.0,,,,
Western Australia,16,Fraud (Not Elsewhere Classified),17230.0,,,,
Western Australia,16,Graffiti,1869.0,,,,
Western Australia,16,Kidnapping / Child Stealing,26.0,,,,
Western Australia,16,Manslaughter,14.0,,,,
Western Australia,16,Murder,35.0,,,,
Western Australia,16,Non-Assaultive Sexual Offences,1575.0,,,,
Western Australia,16,Other Drug Offences,209.0,,,,
Western Australia,16,Other Fire Related Offences,42.0,,,,
Western Australia,16,Possess Stolen Property,4535.0,,,,
Western Australia,16,Possess Weapon to Cause Fear (Family),707.0,,,,
Western Australia,16,Possess Weapon to Cause Fear (Non-Family),1989.0,,,,
Western Australia,16,Possession of Drug Paraphernalia,12885.0,,,,
Western Australia,16,Receiving Stolen Property,600.0,,,,
Western Australia,16,Regulated Weapons Offences,5022.0,,,,
Western Australia,16,Robbery (Business),200.0,,,,
Western Australia,16,Robbery (Non-Business),1199.0,,,,
Western Australia,16,Serious Assault (Family),3661.0,,,,
Western Australia,16,Serious Assault (Non-Family),3964.0,,,,
Western Australia,16,Sexual Assault,4116.0,,,,
Western Australia,16,Stealing (Not Elsewhere Classified),88191.0,,,,
Western Australia,16,Stealing From Dwelling,0.0,,,,
Western Australia,16,Stealing From Motor Vehicle (Contents or Parts),0.0,,,,
Western Australia,16,Stealing From Other Premises or Place,0.0,,,,
Western Australia,16,Stealing From Retail Premises (Shoplift),0.0,,,,
Western Australia,16,Stealing as a Servant,276.0,,,,
Western Australia,16,Stealing of Motor Vehicle,8509.0,,,,
Western Australia,16,Threatening Behaviour (Family),2444.0,,,,
Western Australia,16,Threatening Behaviour (Non-Family),1546.0,,,,
Wheatbelt District,16,Assault Police Officer,24.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Attempted / Conspiracy to Murder,0.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Breach of Family Violence Restraint Order,151.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Breach of Police Order,58.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Breach of Violence Restraint Order,37.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Burglary (Dwelling),563.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Burglary (Non-Dwelling),303.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Cause Bushfire,3.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Cause Damage by Fire,21.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Common Assault (Family),342.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Common Assault (Non-Family),171.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Criminal Damage,246.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Cultivate or Manufacture Drugs,32.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Damage,582.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Deprivation of Liberty,1.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Driving Causing Death,2.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Drug Dealing,66.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Drug Possession,540.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Forgery,3.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Fraud (Credit Card),0.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Fraud (Not Elsewhere Classified),592.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Graffiti,32.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Kidnapping / Child Stealing,0.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Manslaughter,0.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Murder,0.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Non-Assaultive Sexual Offences,11.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Other Drug Offences,10.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Other Fire Related Offences,2.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Possess Stolen Property,77.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Possess Weapon to Cause Fear (Family),14.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Possess Weapon to Cause Fear (Non-Family),62.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Possession of Drug Paraphernalia,438.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Receiving Stolen Property,26.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Regulated Weapons Offences,141.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Robbery (Business),3.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Robbery (Non-Business),16.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Serious Assault (Family),82.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Serious Assault (Non-Family),82.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Sexual Assault,81.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Stealing (Not Elsewhere Classified),1121.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Stealing From Dwelling,0.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Stealing From Other Premises or Place,0.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Stealing From Retail Premises (Shoplift),0.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Stealing as a Servant,6.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Stealing of Motor Vehicle,126.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Threatening Behaviour (Family),49.0,84585.0,90189.0,5604.0,6.63
Wheatbelt District,16,Threatening Behaviour (Non-Family),48.0,84585.0,90189.0,5604.0,6.63
